id;id_station;nom;desserte;gid;last_update;last_update_fme;lon;lat
80007788130;51011;Laurent Bonnevay;46060;1028;2024-06-24 02:31:18;2025-09-01 06:00:11;4,908846977406899;45,76402211924167
80006288158;51012;Laurent Bonnevay;46061;1029;2024-06-24 02:31:18;2025-09-01 06:00:11;4,908655909164273;45,764281686623775
80107087837;55641;Vaulx-en-Velin La Soie;36434,36394;1030;2024-06-24 02:31:18;2025-09-01 06:00:11;4,921477502554233;45,76109130644157
80114187859;55642;Vaulx-en-Velin La Soie;36434,36394;1031;2024-06-24 02:31:18;2025-09-01 06:00:11;4,922395599829083;45,761268919374935
79654188721;51021;Charpennes;46055,42740,30472;1032;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8636534836810545;45,7703660013982
79647488692;51022;Charpennes;42740,46055,30472;1033;2024-06-24 02:31:18;2025-09-01 06:00:11;4,862784383049966;45,77012533090535
79618988309;50041;Brotteaux;46022,46023;1035;2024-06-24 02:31:18;2025-09-01 06:00:11;4,858965607632659;45,766763067896804
79623188360;50043;Brotteaux;46022,46023;1037;2024-06-24 02:31:18;2025-09-01 06:00:11;4,85952451827665;45,76720786447665
79615387740;55201;Gare Part-Dieu V.Merle;46025,46024;1038;2024-06-24 02:31:18;2025-09-01 06:00:11;4,858260576352449;45,76166313181598
79615887701;55203;Gare Part-Dieu V.Merle;46025,46024;1040;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8583153651782265;45,76130410147387
79853784409;50823;Mermoz - Pinel;30185,30186;1085;2024-06-24 02:31:18;2025-09-01 06:00:11;4,887504897580054;45,73101335255398
79849984335;50824;Mermoz - Pinel;30185,30186;1086;2024-06-24 02:31:18;2025-09-01 06:00:11;4,886982714640664;45,73035966543131
79845585223;50622;Laënnec;30187;1088;2024-06-24 02:31:18;2025-09-01 06:00:11;4,886785131130891;45,73836263416282
79839085276;50623;Laënnec;30188;1089;2024-06-24 02:31:18;2025-09-01 06:00:11;4,885979758977789;45,738850891442176
79842785219;50624;Laënnec;30188;1090;2024-06-24 02:31:18;2025-09-01 06:00:11;4,886433696546791;45,7383353344977
79777685750;50411;Grange Blanche;30189,30190;1091;2024-06-24 02:31:18;2025-09-01 06:00:11;4,878294120261891;45,74329669484773
79784385758;50412;Grange Blanche;30189,30190;1092;2024-06-24 02:31:18;2025-09-01 06:00:11;4,879151115641054;45,74334695363147
79787885743;50413;Grange Blanche;30189,30190;1093;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8795927028783295;45,743204629837095
79375486364;50851;Perrache;30101;982;2024-06-24 02:31:18;2025-09-01 06:00:11;4,826879932326511;45,74997054375387
79376186321;50852;Perrache;30459;983;2024-06-24 02:31:18;2025-09-01 06:00:11;4,826955243809867;45,74958344452935
79391186710;50001;Ampère - Victor Hugo;46049;984;2024-06-24 02:31:18;2025-09-01 06:00:11;4,829041213332161;45,75303804763971
79394786727;50002;Ampère - Victor Hugo;42745;985;2024-06-24 02:31:18;2025-09-01 06:00:11;4,829517438936797;45,753187602948806
79411487161;50021;Bellecour;46051,30103,30201,30202;986;2024-06-24 02:31:18;2025-09-01 06:00:11;4,831839954654625;45,75704259083674
79412687186;50022;Bellecour;30103,46051,30201,30202;987;2024-06-24 02:31:18;2025-09-01 06:00:11;4,832004897236542;45,75726287325664
79428587292;50023;Bellecour;30103,46051,30201,30202;988;2024-06-24 02:31:18;2025-09-01 06:00:11;4,834081977544003;45,75816819639687
79425287254;50024;Bellecour;30103,46051,30201,30202;989;2024-06-24 02:31:18;2025-09-01 06:00:11;4,833651452046141;45,757836809345655
79425887240;50025;Bellecour;46051,30103,30201,30202;990;2024-06-24 02:31:18;2025-09-01 06:00:11;4,833716009758165;45,75771223746372
79439387811;50211;Cordeliers;46050,42744;991;2024-06-24 02:31:18;2025-09-01 06:00:11;4,835680666603887;45,7628029675925
79439387842;50212;Cordeliers;46050,42744;992;2024-06-24 02:31:18;2025-09-01 06:00:11;4,835697683497099;45,763084145575554
79439587917;50213;Cordeliers;46050,42744;993;2024-06-24 02:31:18;2025-09-01 06:00:11;4,8357475179605105;45,763756504286285
79440787811;50214;Cordeliers;42744,46050;994;2024-06-24 02:31:18;2025-09-01 06:00:11;4,83585982942995;45,76280050960893
