gid;ligne;code_trace;code_ligne;type_trace;nom_trace;sens;origine;destination;nom_origine;nom_destination;famille_transport;couleur;couleur_hex;date_debut;date_fin;code_type_ligne;nom_type_ligne;pmr;code_tri_ligne;nom_version;last_update;last_update_fme
1360;JD573;573201 SAIN BEL - LYCEE GERMAINE TILLION > COURZIEU - LES ALLOGNETS;4193;;573201 SAIN BEL - LYCEE GERMAINE TILLION > COURZIEU - LES ALLOGNETS;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242915+02:00
1361;JD574;574201 SAIN BEL LYCEE >> LOZANNE LES CALENDRIERES;4194;;574201 SAIN BEL LYCEE >> LOZANNE LES CALENDRIERES;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242925+02:00
1334;JD559;559102 SAINT GENIS L'ARGENTIERE - LE BOURG > SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX;4182;;559102 SAINT GENIS L'ARGENTIERE - LE BOURG > SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242638+02:00
1295;JD513;513201 SAINT MARTIN EN HAUT - GARE ROUTIERE COLLEGE > SAINTE CATHERINE - BOURG;4145;;513201 SAINT MARTIN EN HAUT - GARE ROUTIERE COLLEGE > SAINTE CATHERINE - BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242221+02:00
1337;JD559;559203 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > SAINT GENIS L'ARGENTIERE - LE BOURG;4182;;559203 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > SAINT GENIS L'ARGENTIERE - LE BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242670+02:00
1986;S4A;68228;S4A;;Croix-Rousse - Clos Jouve - Henon - Croix-Rousse - Retour;Retour;;;;Croix-Rousse;BUS;0 154 157;#009A9D;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.420036+02:00
1344;JD561;561202 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > BESSENAY - LE GRENIER;4184;;561202 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > BESSENAY - LE GRENIER;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242745+02:00
1346;JD562;562101 AVEIZE LE BOURG > SAINTE-FOY-L'ARGENTIERE COLLEGE DU VAL D'ARGENT;4185;;562101 AVEIZE LE BOURG > SAINTE-FOY-L'ARGENTIERE COLLEGE DU VAL D'ARGENT;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242766+02:00
1350;JD564;564101 HAUTE RIVOIRE - RUE DE L'ECOLE > SAINTE FOY L'ARGENTIERE - COLLEGE VAL D'ARGENT;4187;;564101 HAUTE RIVOIRE - RUE DE L'ECOLE > SAINTE FOY L'ARGENTIERE - COLLEGE VAL D'ARGENT;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242808+02:00
1354;JD567;567101CHAMBOST LONGESSAIGNE - CROIX ROUGE > SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX;4190;;567101CHAMBOST LONGESSAIGNE - CROIX ROUGE > SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242851+02:00
1351;JD565;565102 SAINTE-FOY-L'ARGENTIERE COLLEGE DU VAL D'ARGENT > MEYS LE BOURG;4188;;565102 SAINTE-FOY-L'ARGENTIERE COLLEGE DU VAL D'ARGENT > MEYS LE BOURG;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242819+02:00
1355;JD567;567201 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > CHAMBOST LONGESSAIGNE - CROIX ROUGE;4190;;567201 SAINT LAURENT DE CHAMOUSSET - PLACE DU MARCHE AUX VEAUX > CHAMBOST LONGESSAIGNE - CROIX ROUGE;;;;;;BUS;23 41 123;#17297B;;;;;False;;;2026-06-12 01:38:00+02:00;2026-06-12 07:06:20.242861+02:00
